record_id,parent_record_id,composition_group_id,donor,domain,value_unit,source_granularity,value_form,separability,donor_path,donor_sha256,donor_symbol,transformation,mapping_topology,disposition,decision_rationale,target_capability,target_nodes,invariant,negative_invariant,test_node,operator_surface,migration_impact,license_note,risk_tier,dependency_record_ids,evidence_confidence,validation_status
D01-ADAPTIVE-CONDITIONS,n/a,CG-ADAPTIVE-STATE-ENGINE,D01,Adaptive UI,Typed state conditions and comparison operators,mechanism or evidence cluster,executable behavior,context-dependent,src/WindowsStateTriggers/EqualsStateTrigger.cs,fd6ecd1486dd8cb60f8c14d2b5a6ba7fe8a8493cf167402e46339687725333f9,n/a,reimplementation,one-to-many,adapted,Portable condition semantics fit the target without importing UWP packaging.,Adaptive state engine,src/WinCare/Core/07-Conditions.ps1#Test-WinCareCondition;src/WinCare/Core/07-Conditions.ps1#Compare-WinCareValue,"Conditions are typed, bounded, and evaluated without executing donor expressions.",Unknown condition kinds and operators fail closed.,tests/Safety.Recovery.Tests.ps1#Condition composition,All adaptive menus and plan pre/postconditions,additive; no donor runtime or persistent-state migration,MIT,medium,n/a,high,statically-validated
D01-COMPOSITE-LOGIC,n/a,CG-ADAPTIVE-STATE-ENGINE,D01,Adaptive UI,All/Any/OnlyOne/Not composition,mechanism or evidence cluster,executable behavior,context-dependent,src/TestApp/Samples/CompositeSample.xaml,69cb9409c637f2a63635650eeee178180ebe6fc5a791cb0c2e40237c859b36be,n/a,reimplementation,many-to-one,synthesized,Composite semantics were fused into one target-native recursive evaluator.,Adaptive state engine,src/WinCare/Core/07-Conditions.ps1#Test-WinCareCondition,Nested conditions retain deterministic Boolean semantics.,No dynamic code or implicit truth coercion grants authority.,tests/Safety.Recovery.Tests.ps1#Condition composition,Adaptive visibility and enablement,additive; no donor runtime or persistent-state migration,MIT,medium,n/a,high,statically-validated
D01-RESPONSIVE-SURFACE,n/a,CG-RESPONSIVE-TERMINAL-UX,D01,UX,Responsive width/height/device-state affordances,mechanism or evidence cluster,product/knowledge inspiration,context-dependent,src/TestApp/Samples/FullScreenSample.xaml,2648ce001f7a407c8908210b5c53d898e0bf563f555e5e71ced58c3dde37e143,n/a,inspiration,idea-to-native,inspired-native,Desktop/XAML triggers inspired terminal capability conditions rather than a copied UI framework.,Responsive terminal UX,src/WinCare/Core/07-Conditions.ps1#Get-WinCareConditionValue;src/WinCare/UI/00-Console.ps1#Get-WinCareConsoleSize,Terminal layout derives from current capabilities and dimensions.,UI state never authorizes a side effect.,tests/UI.Release.Tests.ps1#UI and headless completeness,Responsive TUI navigation,additive; no donor runtime or persistent-state migration,MIT,low,n/a,high,statically-validated
D01-SURFACE-ACCOUNTABILITY,n/a,CG-EVIDENCE-ACCOUNTABILITY,D01,Evidence,Repository-wide surface accountability and non-semantic artifacts,repository surface set,evidence/accountability,standalone,LICENSE,b79735ce3f1fb5a9dffb83d77f5264d69288f0c6af89fb2895fb27ebfa7cd53b,n/a,classification and reference retention,one-to-many,reference-only,"Administrative, generated, media, fixture, and non-selected surfaces remain explicitly accounted for without being copied into the target.",Convergence evidence,docs/convergence/surface-accountability.csv;docs/convergence/adoption-matrix.csv,"Every donor file has a hash, classification, authority status, and semantic disposition link.",File count is not treated as semantic adoption.,tools/validate_convergence.py#surface coverage,Convergence evidence bundle,none,MIT,low,n/a,high,statically-validated
D01-TEST-ORACLES,n/a,CG-CONDITION-VALIDATION,D01,Validation,Condition fixture and sample coverage,mechanism or evidence cluster,product/knowledge inspiration,context-dependent,src/TestApp/SampleContainer.cs,2c533762dd008fddd45db1b87ff1f890c9aa98de3e118b80d5509585cfa49c9e,n/a,oracle extraction,one-to-many,extracted,Sample combinations informed independent condition-composition tests.,Condition validation,tests/Safety.Recovery.Tests.ps1#Condition composition,Every supported composition has a positive oracle.,Samples are not treated as runtime authority.,tests/Safety.Recovery.Tests.ps1#Condition composition,Test suite,additive; no donor runtime or persistent-state migration,MIT,low,n/a,high,statically-validated
D02-APPX-REMOVAL,n/a,CG-APPLICATION-HYGIENE,D02,Applications,Previewed current-user and provisioned AppX removal,mechanism or evidence cluster,executable behavior,context-dependent,Win10BloatRemover.slnx,aae9e26d6b6f60e910ffe13960b02958d6a4bbce9edc9d3ebe80ed9a519ef25d,n/a,reimplementation,many-to-one,adapted,Exact package identities and profiles replaced broad donor removal lists.,Application hygiene,src/WinCare/Core/10-Catalog.ps1#New-WinCareAppRemovalProfilePlan;src/WinCare/Providers/10-Applications.ps1#Invoke-WinCareAppxRemoveAction,Every removed package is visible and exact in the approved plan.,"Wildcards, core-package defaults, and silent bulk removal are forbidden.",tests/Providers.Admission.Tests.ps1#Provisioning admission and stage separation,Applications and provisioning screens,additive; no donor runtime or persistent-state migration,BSD-3-Clause plus embedded resource terms,high,n/a,high,statically-validated
D02-DANGEROUS-DEBLOAT-GUARD,n/a,CG-SAFETY-POLICY,D02,Safety,Reject Defender/update/service deletion patterns,mechanism or evidence cluster,constraint/negative lesson,context-dependent,src/Operations/DefenderDisabler.cs,c96e8a6f84b60652530b6c03a5a44456bffda136eaed5149e6e15192db92a7d7,n/a,negative evidence,negative-to-guardrail,guardrail-derived,Overbroad debloat behavior became explicit denied actions and documentation.,Safety policy,src/WinCare/Core/01-Config.ps1#Get-WinCareDefaultPolicy;src/WinCare/Core/08-Policy.ps1#Test-WinCareActionPolicy,Security and servicing controls remain enabled unless a narrowly supported workflow exists.,"No Defender disable, Windows Update service disable, event-log purge, or hardware bypass.",tests/Core.Contracts.Tests.ps1#Configuration and policy admission,Policy blocks and safety messages,additive; no donor runtime or persistent-state migration,BSD-3-Clause plus embedded resource terms,critical,n/a,high,statically-validated
D02-PRIVACY-CATALOG,n/a,CG-POLICY-CATALOG,D02,Privacy,Reversible privacy policy catalog,mechanism or evidence cluster,executable behavior,context-dependent,src/Operations/TelemetryDisabler.cs,a28cf2f35dfe78a8364984e510f46c4e6b61eaecc3ba93aeaf179a02eeceb66c,n/a,rederivation,many-to-one,synthesized,Supported registry policies were narrowed and wrapped in target rollback contracts.,Policy catalog,src/WinCare/Data/Catalog/rules.json;src/WinCare/Core/10-Catalog.ps1#New-WinCareCatalogPlan,"Each setting has explicit scope, risk, compatibility, and recovery.","Defender, UAC, SmartScreen, and Windows Update are not disabled as privacy tweaks.","tests/Providers.Admission.Tests.ps1#Catalog, preset, and application profile admission",Profiles and policy,additive; no donor runtime or persistent-state migration,BSD-3-Clause plus embedded resource terms,high,n/a,high,statically-validated
D02-SERVICE-TASK-GUARDS,n/a,CG-SYSTEM-POLICY-ENGINE,D02,System policy,Service and scheduled-task desired-state primitives,mechanism or evidence cluster,executable behavior,context-dependent,src/Operations/ScheduledTasksDisabler.cs,e9934768be0b1016a09105c8d6e5a9bfa3f82ce99bdcb791587974dd61e59d53,n/a,hardening,many-to-one,hardened,Only typed names/states and policy-approved actions were retained.,System policy engine,src/WinCare/Providers/25-SystemPolicy.ps1;src/WinCare/Core/11-ActionContracts.ps1#Test-WinCareActionContract,"Service/task changes are typed, previewed, journaled, and reversible when prior state is known.",No service deletion or blanket disable list is admitted.,tests/Core.Contracts.Tests.ps1#Versioned action and plan contracts,"Profiles, automation, expert actions",additive; no donor runtime or persistent-state migration,BSD-3-Clause plus embedded resource terms,critical,n/a,high,statically-validated
D02-STRICT-CONFIG,n/a,CG-CONFIGURATION-AND-POLICY-PLANE,D02,Policy,Strict configuration admission and explicit defaults,mechanism or evidence cluster,executable behavior,context-dependent,global.json,b48d6da8fa62c0da7cc8a2da4ea036ac55836660a448ba533135abb5b8451b73,n/a,hardening,many-to-one,hardened,Configuration ideas were fused with target precedence and strict schemas.,Configuration and policy plane,src/WinCare/Core/01-Config.ps1#Test-WinCareConfigObject;src/WinCare/Core/01-Config.ps1#Test-WinCarePolicyObject,"Unknown keys, invalid values, and lower-authority weakening are rejected.",No configuration can enable telemetry or bypass policy.,tests/Core.Contracts.Tests.ps1#Configuration and policy admission,Settings and enterprise policy,additive; no donor runtime or persistent-state migration,BSD-3-Clause plus embedded resource terms,high,n/a,high,statically-validated
